epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.909,1.28738,3.2438,0.24943,0.85711,1.16859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008647,0.008647,0.008647
43,184.254,1.29279,3.27777,0.24004,0.81415,1.15632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
44,190.455,1.40827,3.33161,0.21869,0.80933,1.09866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008581,0.008581,0.008581
45,194.396,1.31815,3.17944,0.21294,0.80083,1.11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008548,0.008548,0.008548
46,198.165,1.4088,3.19009,0.20624,0.83038,1.09207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
47,201.862,1.37447,3.20261,0.24641,0.8187,1.13086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008482,0.008482,0.008482
48,205.274,1.29399,3.16644,0.18745,0.78636,1.10876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008449,0.008449,0.008449
49,208.728,1.31773,3.34853,0.24544,0.78864,1.11319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
50,212.168,1.2989,3.24079,0.207,0.78786,1.08025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008383,0.008383,0.008383
51,215.53,1.35436,3.16179,0.21528,0.79816,1.11621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0.00835,0.00835
52,219.17,1.26955,3.14949,0.21294,0.76612,1.08269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
53,222.542,1.17486,3.04473,0.19478,0.76074,1.06812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008284,0.008284,0.008284
54,225.893,1.24673,3.14764,0.24469,0.7908,1.09069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008251,0.008251,0.008251
55,229.32,1.16195,3.16713,0.19281,0.74526,1.04804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
56,232.711,1.21517,3.20305,0.20852,0.78823,1.12122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008185,0.008185,0.008185
57,236.831,1.10909,3.06502,0.19942,0.69904,1.05493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,0.008152,0.008152
58,240.758,1.25086,3.22951,0.16708,0.71506,1.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
