epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,683.975,0.69006,1.1019,0.1592,0.45006,0.90418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
185,687.33,0.67942,1.10332,0.12524,0.44018,0.87342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003928,0.003928,0.003928
186,691.039,0.72188,1.17788,0.1248,0.4673,0.90687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003895,0.003895,0.003895
187,694.689,0.7017,1.14477,0.15205,0.45288,0.8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
188,698.152,0.74188,1.19749,0.13058,0.4707,0.89339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003829,0.003829,0.003829
189,701.519,0.66288,1.09815,0.13909,0.43924,0.88171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003796,0.003796,0.003796
190,705.338,0.67943,1.09234,0.17752,0.45734,0.90672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
191,709.062,0.69505,1.10493,0.13298,0.44863,0.87787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373,0.00373,0.00373
192,712.465,0.69166,1.02794,0.12357,0.43786,0.87041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003697,0.003697,0.003697
193,716.016,0.70074,1.20541,0.14673,0.45427,0.90276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
194,719.407,0.70824,1.08127,0.13318,0.45902,0.89062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003631,0.003631,0.003631
195,722.776,0.62456,0.96903,0.14259,0.42908,0.87961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003598,0.003598,0.003598
196,726.158,0.67765,1.17674,0.1376,0.43852,0.8722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
197,729.543,0.70803,1.10734,0.14794,0.45406,0.90576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003532,0.003532,0.003532
198,732.947,0.63728,1.06234,0.13463,0.43561,0.88363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003499,0.003499,0.003499
199,736.335,0.64772,0.995,0.10988,0.43949,0.87513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
200,740.223,0.65476,1.05419,0.11329,0.43162,0.88037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003433,0.003433,0.003433
201,744.017,0.65456,1.00583,0.15315,0.44412,0.89166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0034,0.0034
202,747.468,0.6652,1.03504,0.11163,0.43736,0.87163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
203,751.019,0.67825,1.01915,0.11668,0.43876,0.87725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003334,0.003334,0.003334
204,754.438,0.64385,1.03681,0.15537,0.44488,0.91239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003301,0.003301,0.003301
205,757.904,0.64687,1.0057,0.16483,0.43705,0.92117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
206,761.284,0.66838,1.01243,0.1258,0.43432,0.86347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003235,0.003235,0.003235
207,764.825,0.61744,0.93858,0.13872,0.42884,0.89134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003202,0.003202,0.003202
208,768.366,0.68411,1.04954,0.13648,0.43977,0.87775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
209,771.82,0.68434,1.02271,0.14056,0.44214,0.90234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003136,0.003136,0.003136
210,775.241,0.63718,0.88195,0.13157,0.43431,0.87732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003103,0.003103,0.003103
211,778.63,0.62007,0.90505,0.13195,0.42595,0.8836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
212,782.015,0.65626,0.98439,0.1471,0.42819,0.87881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003037,0.003037,0.003037
213,785.705,0.65738,0.93975,0.16225,0.45241,0.89916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003004,0.003004,0.003004
214,789.087,0.66316,0.97498,0.13283,0.4281,0.86774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
215,792.533,0.60258,0.87907,0.12283,0.41055,0.87796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002938,0.002938,0.002938
216,795.921,0.64734,0.90417,0.12022,0.42123,0.85931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002905,0.002905,0.002905
217,799.289,0.665,0.94953,0.13683,0.42636,0.89509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
218,802.725,0.63759,0.91781,0.13292,0.42228,0.87653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002839,0.002839,0.002839
219,806.189,0.63992,0.96656,0.14863,0.43475,0.91967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002806,0.002806,0.002806
220,809.578,0.68015,0.9911,0.14141,0.42811,0.89894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
221,813.025,0.64755,0.83958,0.13418,0.41563,0.86354,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274,0.00274,0.00274
222,816.483,0.63514,0.91025,0.11512,0.42398,0.87807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002707,0.002707,0.002707
223,819.881,0.66052,0.91463,0.14943,0.42929,0.87721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
224,823.286,0.63783,0.89107,0.1015,0.42286,0.86113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002641,0.002641,0.002641
225,826.683,0.64052,0.93811,0.15691,0.43803,0.91455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002608,0.002608,0.002608
226,830.08,0.64446,0.91136,0.11242,0.42147,0.86202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
227,833.457,0.65993,0.91463,0.11962,0.42413,0.86311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002542,0.002542,0.002542
228,836.878,0.65006,0.86798,0.13255,0.42644,0.87419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002509,0.002509,0.002509
229,840.278,0.63457,0.88174,0.14708,0.42675,0.89227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
230,843.647,0.62512,0.87685,0.10811,0.41974,0.85614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002443,0.002443,0.002443
231,847.401,0.63282,0.90104,0.15048,0.42819,0.88603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241,0.00241,0.00241
232,850.81,0.59248,0.92934,0.11837,0.40638,0.85893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
233,854.22,0.59195,0.89957,0.12362,0.40603,0.86462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002344,0.002344,0.002344
234,857.744,0.66751,0.86949,0.12694,0.4333,0.86829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002311,0.002311,0.002311
235,861.184,0.5958,0.83229,0.13453,0.41453,0.8772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
236,864.575,0.55421,0.72091,0.11743,0.39274,0.8591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002245,0.002245,0.002245
237,867.968,0.58537,0.82201,0.1304,0.39456,0.86031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002212,0.002212,0.002212
238,871.346,0.5732,0.782,0.10474,0.38937,0.85002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
239,874.729,0.57968,0.81685,0.1192,0.38946,0.85169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002146,0.002146,0.002146
240,878.119,0.58447,0.82455,0.10955,0.39357,0.85155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002113,0.002113,0.002113
241,881.531,0.60399,0.82033,0.12157,0.39833,0.86407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
242,884.947,0.61025,0.84974,0.15264,0.41033,0.8831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002047,0.002047,0.002047
243,888.327,0.59597,0.77292,0.1251,0.40079,0.86727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002014,0.002014,0.002014
244,891.876,0.61485,0.86491,0.12856,0.41468,0.86657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
245,895.27,0.5406,0.74648,0.1141,0.37892,0.84194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001948,0.001948,0.001948
246,899.185,0.55848,0.80084,0.12761,0.38772,0.85423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001915,0.001915,0.001915
247,902.585,0.59161,0.81151,0.11956,0.39741,0.84975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
248,906.009,0.56958,0.73046,0.12926,0.39345,0.88842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001849,0.001849,0.001849
249,909.384,0.55592,0.75147,0.12621,0.38752,0.86162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001816,0.001816,0.001816
250,913.208,0.58403,0.83519,0.10044,0.39609,0.83776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
251,916.611,0.56728,0.7861,0.1241,0.39381,0.87295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0.00175,0.00175
252,919.98,0.58342,0.79586,0.13073,0.3964,0.86508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001717,0.001717,0.001717
253,923.38,0.57385,0.72748,0.12339,0.38935,0.86602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
254,926.794,0.55731,0.76612,0.13409,0.38506,0.86054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001651,0.001651,0.001651
255,930.176,0.59826,0.78715,0.15527,0.3982,0.88584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001618,0.001618,0.001618
256,933.598,0.55107,0.778,0.13459,0.38475,0.85553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
257,937.482,0.56672,0.80879,0.1345,0.39001,0.85922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001552,0.001552,0.001552
258,940.88,0.54642,0.70343,0.11367,0.37944,0.85556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519,0.001519,0.001519
259,944.241,0.52941,0.75043,0.10978,0.37591,0.84835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
260,947.652,0.54274,0.72836,0.11566,0.37675,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001453,0.001453,0.001453
261,951.056,0.51768,0.66315,0.09418,0.37499,0.84377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,0.00142,0.00142
262,954.446,0.57458,0.73857,0.11426,0.39411,0.8675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
263,957.845,0.57124,0.78367,0.12862,0.3947,0.85275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001354,0.001354,0.001354
264,961.239,0.52154,0.65333,0.11182,0.36817,0.84643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001321,0.001321,0.001321
265,964.61,0.52637,0.63653,0.12698,0.37807,0.85912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
266,968.052,0.57163,0.78758,0.12641,0.38238,0.85206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001255,0.001255,0.001255
267,971.447,0.53445,0.7607,0.14277,0.37811,0.87454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001222,0.001222,0.001222
268,975.333,0.58708,0.7777,0.12988,0.38791,0.85781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
269,978.752,0.59809,0.78245,0.13667,0.39244,0.85795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001156,0.001156,0.001156
270,982.268,0.50002,0.60322,0.10834,0.36367,0.8442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001123,0.001123,0.001123
271,985.681,0.51442,0.67506,0.11329,0.37198,0.86078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
272,989.072,0.55805,0.66661,0.09468,0.37878,0.84861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001057,0.001057,0.001057
273,992.55,0.53808,0.6966,0.09076,0.37504,0.84271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001024,0.001024,0.001024
274,996.032,0.5479,0.71567,0.10572,0.37322,0.84056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
275,999.534,0.53754,0.7074,0.08835,0.37365,0.83082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000958,0.000958,0.000958
276,1002.97,0.54938,0.73841,0.11322,0.38108,0.86239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000925,0.000925,0.000925
277,1006.34,0.56411,0.70074,0.12821,0.38236,0.87628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
278,1009.69,0.55802,0.73409,0.114,0.38071,0.85957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859,0.000859,0.000859
279,1013.09,0.51595,0.62378,0.09594,0.36073,0.84096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000826,0.000826,0.000826
280,1016.46,0.52034,0.62942,0.11313,0.3644,0.85308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
281,1019.81,0.56092,0.71178,0.14055,0.38145,0.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076,0.00076,0.00076
282,1023.19,0.50728,0.63944,0.12032,0.36752,0.85868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000727,0.000727,0.000727
283,1026.59,0.53712,0.70112,0.1164,0.37099,0.84097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
284,1029.94,0.49776,0.66288,0.12321,0.36046,0.84775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661,0.000661,0.000661
285,1033.32,0.50254,0.65321,0.11819,0.35878,0.83857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000628,0.000628,0.000628
286,1036.71,0.55681,0.76636,0.12245,0.38119,0.84035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
287,1040.05,0.51363,0.60204,0.13093,0.36551,0.86878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0.000562,0.000562
288,1043.42,0.528,0.69364,0.11759,0.3678,0.85575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529,0.000529,0.000529
289,1046.8,0.54403,0.71086,0.13931,0.37127,0.86737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
290,1050.19,0.51961,0.6531,0.09793,0.36776,0.83982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463,0.000463,0.000463
291,1072.86,0.46157,0.47411,0.03285,0.34526,0.82341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0.00043,0.00043
292,1076.7,0.48852,0.55171,0.06374,0.36033,0.84793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
293,1080.08,0.47283,0.53027,0.02633,0.35805,0.81618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364,0.000364,0.000364
294,1083.78,0.48272,0.53712,0.03444,0.35992,0.82135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331,0.000331,0.000331
295,1087.16,0.48157,0.53044,0.04098,0.3614,0.83735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
296,1090.87,0.45993,0.5037,0.04425,0.3484,0.83365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265,0.000265,0.000265
297,1094.37,0.45314,0.4858,0.03916,0.33732,0.83005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232,0.000232,0.000232
298,1097.73,0.45684,0.48237,0.04601,0.34272,0.83461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199,0.000199,0.000199
299,1101.15,0.45537,0.46945,0.03329,0.34314,0.82187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166,0.000166,0.000166
300,1109.66,0.45721,0.46893,0.03136,0.33449,0.81958,0.96646,0.98291,0.9912,0.82019,0.83721,0.79121,0.81394,0.63745,0.71846,1.80655,0.02081,0.43376,0.95697,0.000133,0.000133,0.000133
